IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,0,,,,,,0,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,MEX,Mexico,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,1,,,,,,1,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,COL,Colombia,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,11,,,,,,11,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,12,,,,,,12,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,12,,,,,,12,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,14,,,,,,14,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,15,,,,,,15,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,17,,,,,,17,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,17,,,,,,17,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,2,,,,,,2,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,GUY,Guyana,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,2,,,,,,2,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,2,,,,,,2,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,SUR,Suriname,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,2,,,,,,2,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,21,,,,,,21,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,21,,,,,,21,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,21,,,,,,21,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,22,,,,,,22,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,SMR,San Marino,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,23,,,,,,23,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,24,,,,,,24,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,27,,,,,,27,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,27,,,,,,27,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,BRB,Barbados,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,28,,,,,,28,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,3,,,,,,3,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,3,,,,,,3,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,GMB,Gambia,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,30,,,,,,30,,,EN,2023-03-30T22:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2021,true,Sex,Female,SEX_FMLE,,,,,,,DATASOURCE_SDGHPVWHOUNI2022,"WHO/UNICEF coverage estimates 2021 revision, July 2022",,30,,,,,,30,,,EN,2023-03-30T22:00:00.000Z
